Operator,ETA_SIMD_MIN=0,ETA_SIMD_MIN=0.5,ETA_SIMD_MIN=0.7,ETA_SIMD_MIN=0.9,ETA_SIMD_MIN=0.97,ETA_SIMD_MIN=0.99
Mass.2D.P3,1191.5,1181,1189.1,1185.2,1156.7,1145.2
Hyperelasticity.2D.P6,3129,3127.8,3129.6,3136.6,3084.1,3085.3
Elasticity.3D.P4,3186,3164.9,3169.3,3197.9,2454.9,2441.4
