Operator,ETA_SIMD_MAX=0 GFLOPS,ETA_SIMD_MAX=0.5 GFLOPS,ETA_SIMD_MAX=0.7 GFLOPS,ETA_SIMD_MAX=0.9 GFLOPS,ETA_SIMD_MAX=0.97 GFLOPS,ETA_SIMD_MAX=0.99 GFLOPS
Mass.3D.P4,2022.1,2025.7,2023.8,2024,2022.9,2022.7
Laplace.3D.P4,3472.6,3511.6,3461.3,3461.1,3427.3,3467.2
Helmholtz.3D.P4,3632.8,3681.2,3649.4,3660,3650.6,3651.5
Elasticity.3D.P4,3085.8,3119.5,3093.7,3094.1,3083.5,3104.3
Hyperelasticity.3D.P4,3106.7,3108.2,3107.4,3106.5,3111.4,3105.8
