Operator,ETA_ALIAS_MAX=0 GFLOPS,ETA_ALIAS_MAX=0.5 GFLOPS,ETA_ALIAS_MAX=0.6 GFLOPS,ETA_ALIAS_MAX=0.7 GFLOPS,ETA_ALIAS_MAX=0.8 GFLOPS,ETA_ALIAS_MAX=0.9 GFLOPS
Mass.3D.P4,2024.7,2023.1,2024.8,2024.5,2027.6,2021
Laplace.3D.P4,3432.1,3514.8,3468,3448.3,3448.4,3515.3
Helmholtz.3D.P4,3627,3681.4,3629,3649,3618,3684.6
Elasticity.3D.P4,3100.4,3121.8,3104.7,3087.8,3087.9,3122.3
Hyperelasticity.3D.P4,3107.8,3101,3111.6,3104.7,3112.6,3097.6
