Mass.2D.P1.H200NVL
Mass.2D.P2.H200NVL, 0.00039582080841064454, 0.00030442719459533693, 0.00048749761581420896, 0.00051178560256958, 0.0007872591972351075, 0.00043653280735015873, 0.0007667327880859374, 0.00035354878902435304, 0.00045941917896270753, 0.0003577728033065796, 0.0008030688285827637, 0.0003347455978393555, 0.0005624095916748047, 0.0006705856084823609, 0.0006699536085128784, 0.0008065696239471436, 0.0006048496007919311, 0.00040931520462036134, 0.0006606224060058594, 0.0009161632061004638
Mass.2D.P3.H200NVL, 0.00045994720458984376, 0.0005873152017593383, 0.001245702362060547, 0.0007346976041793824, 0.000760312008857727, 0.0007810719966888428, 0.0007191999912261963, 0.00200174560546875, 0.0018214879989624025, 0.0011943439960479738, 0.0025108399391174318, 0.0014167936325073243, 0.0032118766784667973, 0.00160864315032959, 0.0019083648681640626, 0.0013850303649902344, 0.0029976831436157227, 0.0035020736694335937, 0.0034955039978027346, 0.0026258047103881834
Mass.2D.P4.H200NVL, 0.001057590389251709, 0.0009200767993927002, 0.0012527215957641603, 0.0012965760231018067, 0.002254230308532715, 0.0015165103912353516, 0.002821244716644287, 0.0035910255432128908, 0.0017087072372436523, 0.0019445792198181152, 0.004402745437622071, 0.0020916624069213866, 0.0020883136749267578, 0.003028070449829102, 0.0018053680419921876, 0.003076444816589356, 0.00305765438079834, 0.005733664131164551, 0.0019962015151977538, 0.005959404754638672
Mass.2D.P5.H200NVL, 0.0020689247131347654, 0.007149132537841797, 0.003476201629638672, 0.007106678771972656, 0.0035625854492187504, 0.0035246623992919923, 0.006798770904541016, 0.004344870376586913, 0.013439590454101563, 0.004433619308471679, 0.0041122432708740235, 0.006928905487060547, 0.0072076957702636715, 0.0034213312149047855, 0.00997335662841797, 0.00517423038482666, 0.005409862518310547, 0.007245823669433594, 0.009457872009277344, 0.008891168212890625
Mass.2D.P6.H200NVL, 0.004204800033569336, 0.004368489456176758, 0.005504438400268555, 0.005016235160827637, 0.007971961975097657, 0.007374297332763672, 0.006410393524169921, 0.008945222473144531, 0.006439988708496094, 0.006169311904907227, 0.008654723358154296, 0.00866445083618164, 0.007197132873535156, 0.007510002899169922, 0.013757644653320312, 0.01327431640625, 0.008746697235107423, 0.009316297912597657, 0.013738009643554688, 0.011397347259521485
Mass.2D.P7.H200NVL, 0.005378796768188477, 0.00453373908996582, 0.009485737609863282, 0.008298352050781251, 0.009308834838867188, 0.007971689605712892, 0.009603817749023438, 0.007541203308105469, 0.010311763000488281, 0.00816012191772461, 0.010439488220214845, 0.01081196517944336, 0.00977539825439453, 0.014623715209960938, 0.012857647705078126, 0.018272674560546875, 0.011736576080322266, 0.018153305053710937, 0.03367410888671875, 0.04081437377929687
Mass.2D.P8.H200NVL, 0.007183106994628906, 0.011279577636718751, 0.015931610107421876, 0.010884239959716798, 0.012918106079101562, 0.01323907470703125, 0.014999559020996093, 0.017385372924804687, 0.020159408569335936, 0.025557994079589842, 0.010960649871826173, 0.015451046752929689, 0.013906600952148438, 0.019443168640136718, 0.03279548034667969, 0.017530426025390625, 0.01853269500732422, 0.016267558288574218, 0.029845343017578123, 0.02371410217285156
Laplace.2D.P1.H200NVL
Laplace.2D.P2.H200NVL, 0.00018828799724578856, 0.00021517759561538697, 0.00021190719604492186, 0.00043560798168182374, 0.000609116792678833, 0.00022957119941711428, 0.00029353120326995846, 0.0004394511938095093, 0.00042431678771972657, 0.00021492959260940552, 0.0007106592178344727, 0.0006210416078567505, 0.0005875775814056397, 0.00031151039600372317, 0.00075382080078125, 0.0003199199914932251, 0.0008046688079833984, 0.0005086431980133058, 0.0006939583778381347, 0.0005638495922088623
Laplace.2D.P3.H200NVL, 0.0004565760135650635, 0.0004955951929092408, 0.0005008992195129395, 0.0004813504219055176, 0.0004953440189361572, 0.0017198783874511718, 0.0007651376008987427, 0.001305337619781494, 0.0007640959978103637, 0.0014080368041992188, 0.0012410688400268555, 0.0006877855777740478, 0.0016215632438659668, 0.0005482703924179077, 0.002077292823791504, 0.0009280799865722657, 0.0010499487876892092, 0.0015580831527709962, 0.0014641440391540527, 0.002312515163421631
