Operator,ETA_ALIAS_MIN=0,ETA_ALIAS_MIN=0.5,ETA_ALIAS_MIN=0.6,ETA_ALIAS_MIN=0.7,ETA_ALIAS_MIN=0.8,ETA_ALIAS_MIN=0.9
Mass.2D.P3,4128.7,4130.7,4125.1,4127.5,4123.6,4124.5
Hyperelasticity.2D.P6,8684.9,8689.2,8690.5,8683.9,8688.8,8904.5
Elasticity.3D.P4,6506.3,6509.2,6508.3,6510,6508.7,6510
