Operator,WG_MAX=64 GFLOPS,WG_MAX=128 GFLOPS,WG_MAX=256 GFLOPS,WG_MAX=512 GFLOPS
Mass.2D.P3,1140,1145.3,1160.2,1146.8
Hyperelasticity.2D.P6,3284.4,4057.1,3183,3084.1
Elasticity.3D.P4,2545.6,3463.3,3090.8,2492.7
